auxiliary/scanner/http/rewrite_proxy_bypass                                               normal     No     Apache Reverse Proxy Bypass Vulnerability Scanner
auxiliary/gather/cve_2021_27850_apache_tapestry_hmac_key                 2021-04-15       normal     Yes    Apache Tapestry HMAC secret key leak
auxiliary/admin/http/tomcat_ghostcat                                     2020-02-20       normal     Yes    Apache Tomcat AJP File Read
auxiliary/dos/http/apache_tomcat_transfer_encoding                       2010-07-09       normal     No     Apache Tomcat Transfer-Encoding Information Disclosure and DoS
auxiliary/scanner/http/tomcat_enum                                                        normal     No     Apache Tomcat User Enumeration
auxiliary/gather/zookeeper_info_disclosure                               2020-10-14       normal     No     Apache ZooKeeper Information Disclosure
auxiliary/scanner/http/apache_mod_cgi_bash_env                           2014-09-24       normal     Yes    Apache mod_cgi Bash Environment Variable Injection (Shellshock) Scanner
auxiliary/dos/http/apache_mod_isapi                                      2010-03-05       normal     No     Apache mod_isapi Dangling Pointer
auxiliary/dos/windows/appian/appian_bpm                                  2007-12-17       normal     No     Appian Enterprise Business Suite 5.6 SP1 DoS
auxiliary/scanner/acpp/login                                                              normal     No     Apple Airport ACPP Authentication Scanner
auxiliary/admin/vxworks/apple_airport_extreme_password                                    normal     No     Apple Airport Extreme Password Extraction (WDBRPC)
auxiliary/scanner/afp/afp_server_info                                                     normal     No     Apple Filing Protocol Info Enumerator
auxiliary/scanner/afp/afp_login                                                           normal     No     Apple Filing Protocol Login Utility
auxiliary/gather/apple_safari_ftp_url_cookie_theft                       2015-04-08       normal     No     Apple OSX/iOS/Windows Safari Non-HTTPOnly Cookie Theft
auxiliary/scanner/vnc/ard_root_pw                                                         normal     No     Apple Remote Desktop Root Vulnerability
auxiliary/admin/appletv/appletv_display_image                                             normal     No     Apple TV Image Remote Control
auxiliary/admin/appletv/appletv_display_video                                             normal     No     Apple TV Video Remote Control
auxiliary/scanner/http/appletv_login                                                      normal     No     AppleTV AirPlay Login Utility
auxiliary/analyze/apply_pot                                                               normal     No     Apply Pot File To Hashes
auxiliary/scanner/http/enum_wayback                                                       normal     No     Archive.org Stored Domain URLs
auxiliary/admin/networking/arista_config                                                  normal     No     Arista Configuration Importer
auxiliary/admin/http/arris_motorola_surfboard_backdoor_xss               2015-04-08       normal     No     Arris / Motorola Surfboard SBG6580 Web Interface Takeover
auxiliary/scanner/snmp/arris_dg950                                                        normal     No     Arris DG950A Cable Modem Wifi Enumeration
auxiliary/gather/asterisk_creds                                                           normal     No     Asterisk Gather Credentials
auxiliary/voip/asterisk_login                                                             normal     No     Asterisk Manager Login Utility
auxiliary/scanner/http/atlassian_crowd_fileaccess                                         normal     No     Atlassian Crowd XML Entity Expansion Remote File Access
auxiliary/server/capture/drda                                                             normal     No     Authentication Capture: DRDA (DB2, Informix, Derby)
auxiliary/server/capture/ftp                                                              normal     No     Authentication Capture: FTP
auxiliary/server/capture/http                                                             normal     No     Authentication Capture: HTTP
auxiliary/server/capture/imap                                                             normal     No     Authentication Capture: IMAP
auxiliary/server/capture/mssql                                                            normal     No     Authentication Capture: MSSQL
auxiliary/server/capture/mysql                                                            normal     No     Authentication Capture: MySQL
auxiliary/server/capture/pop3                                                             normal     No     Authentication Capture: POP3
auxiliary/server/capture/postgresql                                                       normal     No     Authentication Capture: PostgreSQL
auxiliary/server/capture/sip                                                              normal     No     Authentication Capture: SIP
auxiliary/server/capture/smb                                                              normal     No     Authentication Capture: SMB
auxiliary/server/capture/smtp                                                             normal     No     Authentication Capture: SMTP
auxiliary/server/capture/telnet                                                           normal     No     Authentication Capture: Telnet
auxiliary/server/capture/vnc                                                              normal     No     Authentication Capture: VNC
auxiliary/parser/unattend                                                                 normal     No     Auxilliary Parser Windows Unattend Passwords
auxiliary/dos/mdns/avahi_portzero                                        2008-11-14       normal     No     Avahi Source Port 0 DoS
auxiliary/admin/http/axigen_file_access                                  2012-10-31       normal     No     Axigen Arbitrary File Read and Delete
auxiliary/scanner/scada/bacnet_l3                                                         normal     No     BACnet Scanner
auxiliary/fileformat/badpdf                                                               normal     No     BADPDF Malicious PDF Creator
auxiliary/scanner/http/bavision_cam_login                                                 normal     No     BAVision IP Camera Web Server Login
auxiliary/dos/dns/bind_tkey                                              2015-07-28       normal     No     BIND TKEY Query Denial of Service
auxiliary/dos/dns/bind_tsig_badtime                                      2020-05-19       normal     No     BIND TSIG Badtime Query Denial of Service
auxiliary/dos/dns/bind_tsig                                              2016-09-27       normal     No     BIND TSIG Query Denial of Service
auxiliary/gather/trackit_sql_domain_creds                                2014-10-07       normal     No     BMC / Numara Track-It! Domain Administrator and SQL Server User Password Disclosure
auxiliary/scanner/http/bmc_trackit_passwd_reset                          2014-12-09       normal     Yes    BMC TrackIt! Unauthenticated Arbitrary User Password Change
auxiliary/bnat/bnat_router                                                                normal     No     BNAT Router
auxiliary/bnat/bnat_scan                                                                  normal     No     BNAT Scanner
auxiliary/scanner/http/barracuda_directory_traversal                     2010-10-08       normal     No     Barracuda Multiple Product "locale" Directory Traversal
auxiliary/dos/scada/beckhoff_twincat                                     2011-09-13       normal     No     Beckhoff TwinCAT SCADA PLC 2.11.0.2004 DoS
auxiliary/admin/wemo/crockpot                                                             normal     Yes    Belkin Wemo-Enabled Crock-Pot Remote Control
auxiliary/gather/billquick_txtid_sqli                                    2021-10-22       normal     Yes    BillQuick Web Suite txtID SQLi
auxiliary/scanner/http/binom3_login_config_pass_dump                                      normal     No     Binom3 Web Management Login Scanner, Config and Password File Dump
auxiliary/scanner/ftp/bison_ftp_traversal                                2015-09-28       normal     Yes    BisonWare BisonFTP Server 3.5 Directory Traversal Information Disclosure
auxiliary/scanner/http/bitweaver_overlay_type_traversal                  2012-10-23       normal     No     Bitweaver overlay_type Directory Traversal
auxiliary/scanner/misc/ib_service_mgr_info                                                normal     No     Borland InterBase Services Manager Information
auxiliary/admin/networking/brocade_config                                                 normal     No     Brocade Configuration Importer
auxiliary/scanner/telnet/brocade_enable_login                                             normal     No     Brocade Enable Login Check Scanner
auxiliary/scanner/snmp/brocade_enumhash                                                   normal     No     Brocade Password Hash Enumeration
auxiliary/dos/http/brother_debut_dos                                     2017-11-02       normal     No     Brother Debut http Denial Of Service
auxiliary/scanner/http/buffalo_login                                                      normal     No     Buffalo NAS Login Utility
auxiliary/gather/c2s_dvr_password_disclosure                             2016-08-19       normal     No     C2S DVR Management Password Disclosure
auxiliary/scanner/misc/cctv_dvr_login                                                     normal     No     CCTV DVR Login Scanning Utility
auxiliary/scanner/rdp/cve_2019_0708_bluekeep                             2019-05-14       normal     Yes    CVE-2019-0708 BlueKeep Microsoft Remote Desktop RCE Check
auxiliary/admin/http/cnpilot_r_cmd_exec                                                   normal     No     Cambium cnPilot r200/r201 Command Execution as 'root'
auxiliary/admin/http/cnpilot_r_fpt                                                        normal     No     Cambium cnPilot r200/r201 File Path Traversal
auxiliary/scanner/http/cnpilot_r_web_login_loot                                           normal     No     Cambium cnPilot r200/r201 Login Scanner and Config Dump
auxiliary/scanner/snmp/cnpilot_r_snmp_loot                                                normal     No     Cambium cnPilot r200/r201 SNMP Enumeration
auxiliary/scanner/http/epmp1000_get_chart_cmd_exec                                        normal     No     Cambium ePMP 1000 'get_chart' Command Injection (v3.1-3.5-RC7)
auxiliary/scanner/http/epmp1000_ping_cmd_exec                                             normal     No     Cambium ePMP 1000 'ping' Command Injection (up to v2.5)
auxiliary/scanner/http/epmp1000_dump_hashes                                               normal     No     Cambium ePMP 1000 'ping' Password Hash Extractor (up to v2.5)
auxiliary/scanner/http/epmp1000_reset_pass                                                normal     No     Cambium ePMP 1000 Account Password Reset
auxiliary/scanner/http/epmp1000_dump_config                                               normal     No     Cambium ePMP 1000 Dump Device Config
